assetId,downloadAttribute,filetype,size,downloadLink,rawLink
Ground048,16K-PNG,zip,3055685592,https://ambientcg.com/get?file=Ground048_16K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_16K-PNG.zip
Ground048,1K-JPG,zip,6448562,https://ambientcg.com/get?file=Ground048_1K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_1K-JPG.zip
Ground048,1K-PNG,zip,19204864,https://ambientcg.com/get?file=Ground048_1K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_1K-PNG.zip
Ground048,2K-JPG,zip,26342686,https://ambientcg.com/get?file=Ground048_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_2K-JPG.zip
Ground048,2K-PNG,zip,76873310,https://ambientcg.com/get?file=Ground048_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_2K-PNG.zip
Ground048,4K-JPG,zip,100585551,https://ambientcg.com/get?file=Ground048_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_4K-JPG.zip
Ground048,4K-PNG,zip,303099533,https://ambientcg.com/get?file=Ground048_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_4K-PNG.zip
Ground048,8K-JPG,zip,358880035,https://ambientcg.com/get?file=Ground048_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_8K-JPG.zip
Ground048,8K-PNG,zip,1174264407,https://ambientcg.com/get?file=Ground048_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Ground048_rfkehctz/Ground048_8K-PNG.zip
BricksSubstance005,HQ,sbsar,211532100,https://ambientcg.com/get?file=BricksSubstance005_HQ.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/BricksSubstance005_1w3dmzci/BricksSubstance005_HQ.sbsar
